,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y)
280,1184114,2015,교차점광장,13호광장(비도시),0,68740,0,이월면 사당리 산10-2,36.94147557,127.4504202
281,1117886,2015,사회복지법인시설,사회복지시설1,0,41318,0,흑석동 45-1,37.14004312,128.2522311
282,1117660,2015,역전광장,광장24,0,0,0,흑석동 420-1,36.25867608,127.3408539
283,1181565,2015,지방하천,고자천,12820,310815,0,상촌면 상도대리 448,36.12596342,127.8732103
284,1218977,2015,근린공원,해도공원,0,84400,0,포항시 상도동,36.00819229,129.3509975
285,1218767,2015,어린이공원,상도4어린이공원,0,1526,0,상도동 18-125 일원,36.01530049,129.359395
286,1218768,2015,어린이공원,상도5공원,0,2844,0,상도동 455-174 일원,37.506033,126.9332826
287,1218807,2015,어린이공원,상 도 3,0,4108,0,상도동 18-63,36.01660849,129.3578275
288,1218555,2015,경관녹지,녹지,0,440,0,상도동 466-3 일원,37.49902499,126.9522633
289,1197749,2015,물류시설,대규모점포,0,22349,0,상도동 472-1 일원,37.4973308,126.9498212
291,1219226,2015,공공도서관,도서관,0,54583,0,상도동 194-2 일원,37.50231631,126.9364721
292,1219234,2015,사회복지법인시설,사회복지시설,0,54583,0,상도동 196-4 일원,37.50226141,126.9379318
